Raga	D(e)	D(bh)	D(kld)	D(js)
15. Mayamalavagowla	0.466	0.429	0.169	0.197
17. Sooryakanta	0.491	0.522	0.256	0.287
18. Hatakambari	0.484	0.511	0.244	0.275
27. Sarasangi	0.231	0.252	0.058	0.069
29. Shankarabharana(*)	0.354	0.417	0.162	0.184
30. Naganandhini	0.281	0.339	0.106	0.122
33. Gangeyabhushani	0.325	0.34	0.106	0.124
35. Shulini	0.33	0.314	0.09	0.107
36. Chalanata(**)	0.282	0.299	0.082	0.096
